Angle_deg,xs_mb_sr,Direct_mb_sr,Compound_mb_sr,xs_Rutherford,Nuc_interfer,beam_energy_MeV
106.0,44.06189,12.417,31.64489,0.2789,-113.9227,5.5
108.0,43.98889,12.344,31.64489,0.291959,-106.6792,5.5
110.0,44.17879,12.5339,31.64489,0.311588,-97.60714,5.5
112.0,44.58909,12.9442,31.64489,0.337606,-87.48525,5.5
114.0,45.18229,13.5374,31.64489,0.369774,-77.00665,5.5
116.0,45.92519,14.2803,31.64489,0.407808,-66.68955,5.5
118.0,46.78899,15.1441,31.64489,0.45138,-56.86866,5.5
120.0,47.74849,16.1036,31.64489,0.50013,-47.72367,5.5
122.0,48.78209,17.1372,31.64489,0.553672,-39.32439,5.5
124.0,49.8709,18.226,31.64489,0.611599,-31.67092,5.5
126.0,50.99889,19.354,31.64489,0.673491,-24.72431,5.5
128.0,52.1526,20.5077,31.64489,0.738917,-18.42718,5.5
130.0,53.3204,21.6755,31.64489,0.807437,-12.71621,5.5
132.0,54.49239,22.8475,31.64489,0.87861,-7.528747,5.5
134.0,55.66039,24.0155,31.64489,0.95199,-2.807023,5.5
136.0,56.81729,25.1724,31.64489,1.02713,1.50074,5.5
138.0,57.95729,26.3124,31.64489,1.10358,5.439766,5.5
140.0,59.0751,27.4302,31.64489,1.18089,9.049187,5.5
142.0,60.16629,28.5214,31.64489,1.2586,12.36215,5.5
144.0,61.22709,29.5822,31.64489,1.33626,15.40735,5.5
146.0,62.25369,30.6088,31.64489,1.41341,18.20866,5.5
148.0,63.243,31.5981,31.64489,1.48958,20.78607,5.5
150.0,64.19189,32.547,31.64489,1.56431,23.15661,5.5
152.0,65.09729,33.4524,31.64489,1.63712,25.33399,5.5
154.0,65.9563,34.3114,31.64489,1.70754,27.3298,5.5
156.0,66.7663,35.1214,31.64489,1.77511,29.15381,5.5
158.0,67.52419,35.8793,31.64489,1.83936,30.81349,5.5
160.0,68.22749,36.5826,31.64489,1.89984,32.31526,5.5
162.0,68.8734,37.2285,31.64489,1.95611,33.66403,5.5
164.0,69.4594,37.8145,31.64489,2.00773,34.86341,5.5
166.0,69.98299,38.3381,31.64489,2.05433,35.9169,5.5
168.0,70.44189,38.797,31.64489,2.09552,36.82642,5.5
170.0,70.83399,39.1891,31.64489,2.13098,37.59389,5.5
172.0,71.15749,39.5126,31.64489,2.1604,38.22031,5.5
174.0,71.4108,39.7659,31.64489,2.18356,38.70695,5.5
176.0,71.59259,39.9477,31.64489,2.20024,39.05405,5.5
178.0,71.7021,40.0572,31.64489,2.21031,39.26226,5.5
180.0,71.73869,40.0938,31.64489,2.21367,39.33157,5.5
0.0,3.0210299999999997e+29,3.0210299999999997e+29,31.96379,1.0,0.0,5.6
2.0,188125000.0,188125000.0,31.96379,0.998895,-208115.6,5.6
4.0,11782630.0,11782600.0,31.96379,1.00038,4476.458,5.6
6.0,2350522.0,2350490.0,31.96379,1.00927,21589.16,5.6
8.0,750152.9,750121.0,31.96379,1.01652,12191.16,5.6
10.0,307570.0,307538.0,31.96379,1.01561,4727.372,5.6
12.0,147104.0,147072.0,31.96379,1.00488,714.3705,5.6
14.0,78122.76,78090.8,31.96379,0.985877,-1119.138,5.6
16.0,44820.96,44789.0,31.96379,0.961695,-1785.25,5.6
18.0,27335.36,27303.4,31.96379,0.935819,-1874.735,5.6
20.0,17547.06,17515.1,31.96379,0.91146,-1704.538,5.6
22.0,11779.36,11747.4,31.96379,0.891215,-1437.832,5.6
24.0,8231.813,8199.85,31.96379,0.876931,-1155.257,5.6
26.0,5966.324,5934.36,31.96379,0.869702,-893.8694,5.6
28.0,4469.464,4437.5,31.96379,0.869929,-668.2701,5.6
30.0,3448.434,3416.47,31.96379,0.877419,-481.7682,5.6
32.0,2730.494,2698.53,31.96379,0.891506,-332.2941,5.6
34.0,2210.724,2178.76,31.96379,0.91116,-215.5502,5.6
36.0,1823.754,1791.79,31.96379,0.935104,-126.568,5.6
38.0,1527.934,1495.97,31.96379,0.961909,-60.50529,5.6
40.0,1296.174,1264.21,31.96379,0.990082,-12.98413,5.6
42.0,1110.534,1078.57,31.96379,1.01814,19.78614,5.6
44.0,958.8618,926.898,31.96379,1.04467,41.00083,5.6
46.0,832.8368,800.873,31.96379,1.06836,53.2898,5.6
48.0,726.6138,694.65,31.96379,1.08809,58.82542,5.6
50.0,636.0258,604.062,31.96379,1.10285,59.3147,5.6
52.0,558.0428,526.079,31.96379,1.11189,56.15607,5.6
54.0,490.4168,458.453,31.96379,1.11462,50.43114,5.6
56.0,431.4438,399.48,31.96379,1.11065,42.98315,5.6
58.0,379.8078,347.844,31.96379,1.0998,34.46519,5.6
60.0,334.4718,302.508,31.96379,1.08208,25.37101,5.6
62.0,294.5998,262.636,31.96379,1.05768,16.06583,5.6
64.0,259.5058,227.542,31.96379,1.02694,6.807682,5.6
66.0,228.6208,196.657,31.96379,0.99035,-2.227692,5.6
68.0,201.4598,169.496,31.96379,0.94853,-10.93179,5.6
70.0,177.6088,145.645,31.96379,0.902205,-19.25201,5.6
72.0,156.7068,124.743,31.96379,0.852189,-27.18057,5.6
74.0,138.4388,106.475,31.96379,0.799359,-34.74846,5.6
76.0,122.5233,90.5595,31.96379,0.744639,-42.01724,5.6
78.0,108.7131,76.7493,31.96379,0.688978,-49.07581,5.6
80.0,96.78509,64.8213,31.96379,0.633332,-56.03379,5.6
82.0,86.53899,54.5752,31.96379,0.578643,-63.01607,5.6
84.0,77.7943,45.8305,31.96379,0.525826,-70.15255,5.6
86.0,70.38759,38.4238,31.96379,0.475748,-77.56382,5.6
88.0,64.17099,32.2072,31.96379,0.429222,-85.33437,5.6
90.0,59.01039,27.0466,31.96379,0.386987,-93.47636,5.6
92.0,54.78409,22.8203,31.96379,0.349704,-101.8744,5.6
94.0,51.38159,19.4178,31.96379,0.317946,-110.2232,5.6
96.0,48.70299,16.7392,31.96379,0.292195,-117.9768,5.6
98.0,46.65759,14.6938,31.96379,0.272834,-124.3533,5.6
100.0,45.16369,13.1999,31.96379,0.260153,-128.4406,5.6
102.0,44.14729,12.1835,31.96379,0.254346,-129.4245,5.6
104.0,43.54209,11.5783,31.96379,0.255515,-126.867,5.6
106.0,43.28849,11.3247,31.96379,0.263672,-120.887,5.6
108.0,43.33339,11.3696,31.96379,0.278752,-112.1216,5.6
110.0,43.62939,11.6656,31.96379,0.300614,-101.5049,5.6
112.0,44.13469,12.1709,31.96379,0.329052,-89.9921,5.6
114.0,44.81229,12.8485,31.96379,0.3638,-78.36608,5.6
116.0,45.62989,13.6661,31.96379,0.404547,-67.16267,5.6
118.0,46.55909,14.5953,31.96379,0.450942,-56.68942,5.6
120.0,47.57569,15.6119,31.96379,0.502598,-47.08384,5.6
122.0,48.65839,16.6946,31.96379,0.559109,-38.37007,5.6
124.0,49.78929,17.8255,31.96379,0.620048,-30.5098,5.6
126.0,50.95309,18.9893,31.96379,0.684977,-23.43348,5.6
128.0,52.13679,20.173,31.96379,0.75345,-17.06062,5.6
130.0,53.32949,21.3657,31.96379,0.825017,-11.31098,5.6
132.0,54.52199,22.5582,31.96379,0.899225,-6.110213,5.6
134.0,55.70669,23.7429,31.96379,0.975623,-1.391889,5.6
136.0,56.87719,24.9134,31.96379,1.05376,2.901723,5.6
138.0,58.02809,26.0643,31.96379,1.13317,6.819453,5.6
140.0,59.15469,27.1909,31.96379,1.21342,10.40431,5.6
142.0,60.25309,28.2893,31.96379,1.29403,13.69073,5.6
144.0,61.31969,29.3559,31.96379,1.37456,16.70928,5.6
146.0,62.35129,30.3875,31.96379,1.45453,19.48432,5.6
148.0,63.34479,31.381,31.96379,1.53348,22.03692,5.6
150.0,64.29759,32.3338,31.96379,1.61092,24.38401,5.6
152.0,65.20659,33.2428,31.96379,1.68639,26.54021,5.6
154.0,66.06929,34.1055,31.96379,1.7594,28.51712,5.6
156.0,66.88279,34.919,31.96379,1.82946,30.32403,5.6
158.0,67.64439,35.6806,31.96379,1.8961,31.96885,5.6
160.0,68.35129,36.3875,31.96379,1.95885,33.45771,5.6
162.0,69.00089,37.0371,31.96379,2.01725,34.79547,5.6
164.0,69.59039,37.6266,31.96379,2.07086,35.98581,5.6
166.0,70.11739,38.1536,31.96379,2.11925,37.03144,5.6
168.0,70.57959,38.6158,31.96379,2.16205,37.93484,5.6
170.0,70.97459,39.0108,31.96379,2.1989,38.69728,5.6
172.0,71.30059,39.3368,31.96379,2.22949,39.31992,5.6
174.0,71.55599,39.5922,31.96379,2.25357,39.80371,5.6
176.0,71.7394,39.7756,31.96379,2.27092,40.14894,5.6
178.0,71.84979,39.886,31.96379,2.28139,40.35593,5.6
180.0,71.88669,39.9229,31.96379,2.28489,40.42492,5.6
0.0,2.9162499999999998e+29,2.9162499999999998e+29,32.18222,1.0,0.0,5.7
2.0,181585000.0,181585000.0,32.18222,0.998811,-216163.2,5.7
4.0,11377530.0,11377500.0,32.18222,1.00069,7844.883,5.7
6.0,2270732.0,2270700.0,32.18222,1.01004,22571.68,5.7
8.0,724649.2,724617.0,32.18222,1.01724,12281.26,5.7
10.0,296923.2,296891.0,32.18222,1.01568,4583.871,5.7
12.0,141857.2,141825.0,32.18222,1.00385,544.0508,5.7
14.0,75233.38,75201.2,32.18222,0.983507,-1261.637,5.7
16.0,43099.88,43067.7,32.18222,0.957959,-1891.484,5.7
18.0,26248.68,26216.5,32.18222,0.930849,-1949.965,5.7
20.0,16829.28,16797.1,32.18222,0.905504,-1756.259,5.7
22.0,11287.88,11255.7,32.18222,0.884589,-1472.713,5.7
24.0,7884.942,7852.76,32.18222,0.869986,-1178.355,5.7
26.0,5715.182,5683.0,32.18222,0.862788,-908.9042,5.7
28.0,4283.502,4251.32,32.18222,0.863373,-677.8554,5.7
30.0,3307.942,3275.76,32.18222,0.871507,-487.7154,5.7
32.0,2622.402,2590.22,32.18222,0.886467,-335.8604,5.7
34.0,2126.152,2093.97,32.18222,0.907164,-217.583,5.7
36.0,1756.552,1724.37,32.18222,0.932254,-127.6469,5.7
38.0,1473.762,1441.58,32.18222,0.960242,-61.01984,5.7
40.0,1251.922,1219.74,32.18222,0.989574,-13.19005,5.7
42.0,1073.922,1041.74,32.18222,1.01871,19.72408,5.7
44.0,928.2262,896.044,32.18222,1.04618,40.97332,5.7
46.0,806.9232,774.741,32.18222,1.07064,53.24014,5.7
48.0,704.4792,672.297,32.18222,1.09091,58.70713,5.7
50.0,616.9492,584.767,32.18222,1.10599,59.12395,5.7
52.0,541.4682,509.286,32.18222,1.11507,55.87698,5.7
54.0,475.9102,443.728,32.18222,1.11758,50.07029,5.7
56.0,418.6652,386.483,32.18222,1.11312,42.54654,5.7
58.0,368.4882,336.306,32.18222,1.10152,33.96117,5.7
60.0,324.3932,292.211,32.18222,1.08281,24.80862,5.7
62.0,285.5882,253.406,32.18222,1.05718,15.44671,5.7
64.0,251.4202,219.238,32.18222,1.02501,6.134593,5.7
66.0,221.3432,189.161,32.18222,0.986825,-2.955145,5.7
68.0,194.8942,162.712,32.18222,0.943279,-11.71932,5.7
70.0,171.6752,139.493,32.18222,0.895139,-20.11088,5.7
72.0,151.3372,119.155,32.18222,0.843259,-28.12985,5.7
74.0,133.5752,101.393,32.18222,0.78856,-35.8161,5.7
76.0,118.1184,85.9362,32.18222,0.732011,-43.24311,5.7
78.0,104.7241,72.5419,32.18222,0.674605,-50.51357,5.7
80.0,93.17522,60.993,32.18222,0.617339,-57.75517,5.7
82.0,83.27612,51.0939,32.18222,0.561196,-65.1143,5.7
84.0,74.84982,42.6676,32.18222,0.507126,-72.74628,5.7
86.0,67.73602,35.5538,32.18222,0.456029,-80.79843,5.7
88.0,61.78912,29.6069,32.18222,0.408745,-89.37877,5.7
90.0,56.87712,24.6949,32.18222,0.366034,-98.5104,5.7
92.0,52.88002,20.6978,32.18222,0.328575,-108.0574,5.7
94.0,49.68882,17.5066,32.18222,0.296951,-117.6412,5.7
96.0,47.20462,15.0224,32.18222,0.271648,-126.5667,5.7
98.0,45.33772,13.1555,32.18222,0.253047,-133.8295,5.7
100.0,44.00732,11.8251,32.18222,0.241432,-138.2689,5.7
